ranking,dist_class,size_class,dist,size,status,taxon,state,user_category,user_login,taxon_species_name,taxon_group,latitude,longitude,size_scaled,dist_scaled,log_dist,growth
1,wide,large,19,75,LC,Aves,Río Negro,expert,santiagomailhos,Ardea cocoi,tetrapods,-32.5586566754,-58.0437953826,0.5587271482891345,0.4292554344470148,2.9444389791664403,NA
1,wide,small,19,26,NE,Reptilia,Río Negro,expert,santiagomailhos,Trachemys dorbigni,tetrapods,-32.5573819778,-58.0428849324,-0.23777088654179357,0.4292554344470148,2.9444389791664403,NA
1,wide,small,19,17,LC,Aves,Río Negro,expert,santiagomailhos,Chrysomus ruficapillus,tetrapods,-32.5561423598,-58.0418299113,-0.3840664439597191,0.4292554344470148,2.9444389791664403,NA
1,wide,medium,19,85,LC,Mammalia,Río Negro,expert,santiagomailhos,Myocastor coypus,tetrapods,-32.5573833874,-58.0430384921,0.721277767642385,0.4292554344470148,2.9444389791664403,NA
1,wide,medium,19,36,LC,Aves,Río Negro,expert,santiagomailhos,Amazonetta brasiliensis,tetrapods,-32.5566074619,-58.0425270156,-0.07522026718854295,0.4292554344470148,2.9444389791664403,NA
1,wide,medium,19,25,LC,Aves,Río Negro,expert,santiagomailhos,Jacana jacana,tetrapods,-32.5565484435,-58.0423218664,-0.2540259484771186,0.4292554344470148,2.9444389791664403,NA
1,wide,small,19,13,LC,Aves,Río Negro,expert,santiagomailhos,Tachycineta leucorrhoa,tetrapods,-32.5562338251,-58.0423930266,-0.4490866917010194,0.4292554344470148,2.9444389791664403,NA
1,wide,small,19,34,NE,Reptilia,Río Negro,expert,santiagomailhos,Phrynops hilarii,tetrapods,-32.5557639092,-58.0405181096,-0.10773039105919308,0.4292554344470148,2.9444389791664403,NA
1,medium,medium,15,38,LC,Aves,Río Negro,expert,santiagomailhos,Phaetusa simplex,tetrapods,-32.5560988626,-58.0400017348,-0.04271014331789283,-0.4656685879001393,2.70805020110221,NA
1,wide,large,19,63,LC,Aves,Río Negro,expert,santiagomailhos,Nannopterum brasilianum,tetrapods,-32.5557812083,-58.0402169691,0.36366640506523373,0.4292554344470148,2.9444389791664403,NA
